Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29,93.75,95.23,93.71,95.04,95.04,90329256.0
2020-07-30,94.19,96.3,93.77,96.19,96.19,158130020.0
2020-07-31,102.88,106.42,100.83,106.26,106.26,374295468.0
2020-08-03,108.2,111.64,107.89,108.94,108.94,308151388.0
2020-08-04,109.13,110.79,108.39,109.67,109.67,172792368.0
2020-08-05,109.38,110.39,108.9,110.06,110.06,121991952.0
2020-08-06,110.41,114.41,109.8,113.9,113.9,202428900.0
2020-08-07,113.21,113.68,110.29,111.11,111.11,198045612.0
2020-08-10,112.6,113.78,110.0,112.73,112.73,212403424.0
2020-08-11,111.97,112.48,109.11,109.38,109.38,187902376.0
2020-08-12,110.5,113.28,110.3,113.01,113.01,165944820.0
2020-08-13,114.43,116.04,113.93,115.01,115.01,210082064.0
2020-08-14,114.83,115.0,113.05,114.91,114.91,165565208.0
2020-08-17,116.06,116.09,113.96,114.61,114.61,119561444.0
2020-08-18,114.35,116.0,114.01,115.56,115.56,105633540.0
2020-08-19,115.98,117.16,115.61,115.71,115.71,145538008.0
2020-08-20,115.75,118.39,115.73,118.28,118.28,126907188.0
2020-08-21,119.26,124.87,119.25,124.37,124.37,338054640.0
2020-08-24,128.7,128.79,123.94,125.86,125.86,345937768.0
2020-08-25,124.7,125.18,123.05,124.83,124.83,211495788.0
2020-08-26,126.18,126.99,125.08,126.52,126.52,163022268.0
2020-08-27,127.14,127.49,123.83,125.01,125.01,155552384.0
2020-08-28,126.01,126.44,124.58,124.81,124.81,187629916.0
2020-08-31,127.58,131.0,126.0,129.04,129.04,225702688.0
2020-09-01,132.76,134.8,130.53,134.18,134.18,152470142.0
2020-09-02,137.59,137.98,127.0,131.4,131.4,200118991.0
2020-09-03,126.91,128.84,120.5,120.88,120.88,257599640.0
2020-09-04,120.07,123.7,110.89,120.96,120.96,332607163.0
2020-09-08,113.95,118.99,112.68,112.82,112.82,231366563.0
2020-09-09,117.26,119.14,115.26,117.32,117.32,176940455.0
2020-09-10,120.36,120.5,112.5,113.49,113.49,182274391.0
